2023-11-05 19:07:31.517 [main] INFO  org.example.Main - Start of Execution
2023-11-05 19:07:53.679 [main] INFO  org.example.Main - START OP: Add
2023-11-05 19:07:53.680 [main] INFO  org.example.Main - END OP: Add
2023-11-05 19:07:57.155 [main] INFO  org.example.Main - End of Execution
2023-11-05 19:21:29.062 [main] INFO  org.example.Main - START OP: Add
2023-11-05 19:21:29.063 [main] INFO  org.example.Main - END OP: Add
2023-11-05 19:21:29.063 [main] INFO  org.example.Main - START OP: Divide
2023-11-05 19:21:29.064 [main] INFO  org.example.Main - END OP: Divide
2023-11-05 19:21:29.064 [main] INFO  org.example.Main - START OP: Divide
2023-11-05 19:21:29.064 [main] INFO  org.example.Main - END OP: Divide
2023-11-05 19:21:29.064 [main] INFO  org.example.Main - START OP: Subtract
2023-11-05 19:21:29.064 [main] INFO  org.example.Main - END OP: Subtract
2023-11-05 19:21:29.064 [main] INFO  org.example.Main - START OP: Subtract
2023-11-05 19:21:29.064 [main] INFO  org.example.Main - END OP: Subtract
2023-11-05 19:21:29.065 [main] INFO  org.example.Main - START OP: Multiply
2023-11-05 19:21:29.065 [main] INFO  org.example.Main - END OP: Multiply
2023-11-05 19:21:29.065 [main] INFO  org.example.Main - START OP: Multiply
2023-11-05 19:21:29.065 [main] INFO  org.example.Main - END OP: Multiply
2023-11-05 19:21:29.065 [main] INFO  org.example.Main - START OP: Add
2023-11-05 19:21:29.065 [main] INFO  org.example.Main - END OP: Add
